step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.775692806373613,0,0.0,0.99109434925632,0,0.0,0.9910217714058704,0,0.0,1.0,0,0.0,1.0,0,0.0,0.991944051033677,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9900126698124272,0,0.0,0.9912242883866786,0,0.0,0.9912283547613989,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9913551715384539,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.349020931580139,0,0.0,0.9121868049605033,0,0.0,0.9601514619154524,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9615689417390805,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9577395989331934,0,0.0,0.960643430455084,0,0.0,0.9602333855814716,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9411102749324033,0,0.0,1.0,0,0.0
15.0,40,0,2,0,40,0,4.0,0.1,11.528944030363874,0,0.0,0.7523068032755597,0,0.0,0.8400848065715021,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9396500226128784,0,0.0,0.9680826500811215,0,0.0,1.0,0,0.0,1.0,1,2.0,0.7519695634379555,1,2.0,0.6934379544471684,0,0.0,0.9669365706145449,0,0.0,0.8609423432126646,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9687997654841971,0,0.0,0.7449972723679626,2,4.0
20.0,56,0,9,0,56,0,30.0,0.5357142857142857,11.133193233119401,3,8.0,0.6752149280762387,0,0.0,0.9388599125703455,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9315973213186013,0,0.0,0.9241572064945117,0,0.0,1.0,0,0.0,1.0,3,10.0,0.5440578670343921,3,12.0,0.5462762556947515,0,0.0,0.9386420410259816,0,0.0,0.9365012541839914,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9601647088977194,0,0.0,0.94471991176254,9,30.0
25.0,72,0,0,0,72,0,0.0,0.0,10.541130591251456,0,4.0,0.6890163353787281,0,0.0,0.9643375041703903,0,0.0,0.9925205106161237,0,0.0,1.0,0,0.0,0.973787545358118,0,0.0,0.7194592548337717,0,0.0,1.0,0,0.0,1.0,0,5.0,0.5861663410122746,0,4.0,0.6265680584978872,0,4.0,0.6908684287371002,0,0.0,0.8577674640650833,0,4.0,0.46419587206143115,0,4.0,0.449233981426966,0,0.0,0.7767135768963913,0,0.0,0.9428769454444244,0,25.0
30.0,80,0,11,0,80,0,34.0,0.425,9.776770502873626,1,5.0,0.6634750878253238,1,2.0,0.5499484526589039,0,0.0,0.9529419925171723,0,0.0,1.0,0,0.0,0.9757189268773345,2,8.0,0.5963257096106612,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9301381833945924,0,0.0,0.8997769501644871,1,9.0,0.6441278671827647,3,6.0,0.39260765981451506,0,4.0,0.833023897916239,0,4.0,0.8525103931551438,2,7.0,0.48116231668417186,1,1.0,0.6561115671409278,11,46.0
35.0,96,0,13,0,96,0,71.0,0.7395833333333334,9.205093891151675,0,2.0,0.7162921370613726,0,5.0,0.5420202609419653,0,0.0,0.9375742244566447,0,0.0,1.0,0,0.0,0.9600201253129524,4,21.0,0.3702050468809013,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8797693134423563,0,0.0,0.7319837258654518,4,22.0,0.637765805234629,3,23.0,0.1283897317793509,0,4.0,0.853633733818443,0,4.0,0.9173012118489154,0,3.0,0.5997104111905374,2,11.0,0.6009979437041215,13,95.0
40.0,112,0,24,0,112,0,163.0,1.4553571428571428,8.9745918110084,2,4.0,0.6926837865701952,0,4.0,0.8341624620839437,0,0.0,0.9562325456987062,0,0.0,0.9721289561115647,0,0.0,0.9425392154340254,6,45.0,0.4617522178694701,0,0.0,1.0,0,0.0,1.0,1,2.0,0.7453227817431451,2,7.0,0.5740315572710075,5,43.0,0.48851673968422343,4,44.0,0.42202270179702894,0,0.0,0.8611919265693091,2,7.0,0.20626433790714485,0,0.0,0.9600170421245486,2,23.0,0.7006683802265041,24,179.0
45.0,120,0,21,0,120,0,193.0,1.6083333333333334,7.777265605240339,0,0.0,0.6101862224129341,2,7.0,0.6854906725392494,0,0.0,0.8519323789485534,0,2.0,0.7489359867269979,0,0.0,0.9608600571028957,8,80.0,0.4250622752713235,0,0.0,1.0,0,0.0,1.0,1,5.0,0.5042246969072396,0,3.0,0.6657688084271047,7,80.0,0.25518494851251017,0,23.0,0.6777039900218588,0,4.0,0.3463036400350206,1,17.0,0.20351007836450688,0,0.0,0.7430967850608315,2,33.0,0.6108181634546406,21,254.0
50.0,136,0,30,0,136,0,205.0,1.5073529411764706,7.9166278371720935,3,9.0,0.648003090978106,3,17.0,0.5175880190156056,0,4.0,0.7240976450907,1,6.0,0.6422866416730597,0,0.0,0.7834282186229439,3,67.0,0.3260919399479535,0,2.0,0.7585994167459309,0,0.0,1.0,4,18.0,0.5937614623952309,0,2.0,0.8886533871153018,9,122.0,0.4306028777451233,2,5.0,0.28578192710031713,3,18.0,0.5599003575287067,0,6.0,0.8317187189631933,2,8.0,0.637110770638154,0,4.0,0.16605661423445606,30,288.0
