step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.2550617899221,0,0.0,0.9755170727002616,0,0.0,0.9744983614294114,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9770680504951154,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9731224752928672,0,0.0,0.9738262479185368,0,0.0,0.9747157066063166,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9741543409818347,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,12.847870957492276,0,0.0,0.9463743014942781,0,0.0,0.9458034664434567,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9370593841566868,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9401997938194644,0,0.0,0.9448176099113152,0,0.0,0.8525643887779012,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9168710061134048,0,0.0,1.0,0,0.0
15.0,40,0,1,0,40,0,1.0,0.025,11.247848592661427,1,1.0,0.7093526888881977,0,0.0,0.720323232046065,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9552544022921404,0,0.0,0.8483640021070109,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7653285963462595,0,0.0,0.7399001149976938,0,0.0,0.9337710390843373,0,0.0,0.4759596476444934,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9627675663994937,0,0.0,0.6800970608645724,1,1.0
20.0,56,0,8,0,56,0,21.0,0.375,10.255895133314933,0,1.0,0.7702556249211608,3,10.0,0.45860682541007086,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9548097508899396,0,0.0,0.937016553190526,0,0.0,1.0,0,0.0,1.0,2,6.0,0.5712910741111724,3,7.0,0.4763613869047073,0,0.0,0.9608722752925826,0,0.0,0.9540801761435551,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9599971516579913,0,0.0,0.9616570039104805,8,24.0
25.0,72,0,3,0,72,0,9.0,0.125,10.039258305947206,2,8.0,0.7063749569516122,0,7.0,0.725312025318679,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8263228629119194,0,0.0,0.6559148992159817,0,0.0,1.0,0,0.0,1.0,0,2.0,0.6002137401723943,0,5.0,0.6351326500722116,1,1.0,0.8115209386375969,0,4.0,0.7468449176583791,0,2.0,0.476786178440607,0,4.0,0.4423414276690708,0,0.0,0.9662405025599718,0,0.0,0.840396790863864,3,33.0
30.0,80,0,8,0,80,0,21.0,0.2625,9.961438338724141,1,2.0,0.5498331885733504,0,2.0,0.9020345311816887,0,0.0,1.0,0,0.0,1.0,2,5.0,0.5718643529811563,2,5.0,0.35397870424073974,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9448194313279819,0,0.0,0.8513980826804537,2,9.0,0.48591339499868225,0,4.0,0.8519946651989406,0,4.0,0.8762169603031085,0,4.0,0.8725005587009779,0,0.0,0.9705586860329494,1,3.0,0.5449500297466946,8,38.0
35.0,96,0,9,0,96,0,30.0,0.3125,9.632448468877454,2,9.0,0.661441465004213,1,1.0,0.7114996761019123,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5868656589950239,0,4.0,0.3695644682497724,0,4.0,0.4209927343405929,0,0.0,1.0,1,1.0,0.6721079961805541,0,0.0,0.7342731333887145,0,6.0,0.7246773303998396,0,4.0,0.9379884151166769,0,4.0,0.8318708999127455,0,4.0,0.8699939892322553,0,0.0,0.9083315587136473,5,19.0,0.3522086317210704,9,56.0
40.0,112,0,15,0,112,0,77.0,0.6875,8.62850884346287,0,2.0,0.654818192058316,2,10.0,0.4432018821573977,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9558561726115195,0,4.0,0.8606053947698268,0,4.0,0.9086959117983533,0,0.0,1.0,3,12.0,0.601270107139628,2,7.0,0.5539397997531956,0,2.0,0.904585656117116,0,4.0,0.8342165259353129,0,4.0,0.4387811658962609,1,5.0,0.34182185972692675,1,3.0,0.6179380958433462,6,46.0,0.34673291122038613,15,103.0
45.0,120,0,18,0,120,0,108.0,0.9,8.090796099014002,3,7.0,0.5634079195864519,0,9.0,0.691507564856006,0,0.0,1.0,0,4.0,0.4918600957854452,0,0.0,0.9577327853366343,0,4.0,0.9337039129482514,0,4.0,0.9068074694030261,0,0.0,1.0,0,8.0,0.5637605951973691,0,1.0,0.5849817546512021,0,0.0,0.6465915398554483,0,6.0,0.8166456909723365,5,23.0,0.11425340302742709,1,10.0,0.4876240124408664,1,1.0,0.6034351013290848,8,84.0,0.3854067139974707,18,161.0
50.0,136,0,21,0,136,0,157.0,1.1544117647058822,8.503587564127573,1,11.0,0.5701819794856363,0,4.0,0.8958879742204631,0,4.0,0.4534805407631025,0,4.0,0.8250055212967203,0,0.0,0.7635135150052982,2,7.0,0.5129046852465404,2,7.0,0.025651668861153294,0,0.0,1.0,4,9.0,0.5519801053067861,0,0.0,0.9268523302604066,3,12.0,0.537112771341959,0,8.0,0.6064339229535313,0,23.0,0.5496646169622852,0,5.0,0.6857370274545734,1,6.0,0.8085872551831442,8,126.0,0.47264088937970555,21,226.0
