step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,14.248620214595478,0,0.0,0.9918520786323555,0,0.0,0.9917182913129404,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9927805808728102,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9924984474388886,0,0.0,0.9931375362442819,0,0.0,0.9913641812071615,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9924935675175668,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,12.856460585588419,0,0.0,0.913298655337661,0,0.0,0.9447248970933921,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8727223302141817,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9468590521292556,0,0.0,0.9531453608181497,0,0.0,0.940785926409238,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8914680919981568,0,0.0,1.0,0,0.0
15.0,40,0,1,0,40,0,1.0,0.025,12.494991294294712,1,1.0,0.8120563579804365,0,0.0,0.9381971565292332,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9347471510771275,0,0.0,0.7634425297722093,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9426240227438685,0,0.0,0.799398388814385,0,0.0,0.953880700237249,0,0.0,0.9481858497662731,0,0.0,0.9982187042373412,0,0.0,0.9906993055480505,0,0.0,0.9445318569448581,0,0.0,0.8143364602709111,1,1.0
20.0,56,0,4,0,56,0,10.0,0.17857142857142858,11.300243891496917,1,6.0,0.6850693876350894,1,1.0,0.7726214371086185,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9563755090485159,0,0.0,0.9537174379270545,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6801862613383464,1,2.0,0.6073439610096535,0,0.0,0.9507155354612611,0,0.0,0.9276053213748681,0,0.0,0.9092073793818971,0,0.0,0.3286536122320424,0,0.0,0.9521382059034473,0,0.0,0.9468420041302831,4,10.0
25.0,72,0,10,0,72,0,34.0,0.4722222222222222,8.83900484856157,1,5.0,0.6734958468196452,1,10.0,0.5515603949354732,0,0.0,0.7419125333397467,0,0.0,0.33411971589358547,1,2.0,0.5629762675180645,0,0.0,0.507760310672637,0,0.0,1.0,0,0.0,1.0,2,8.0,0.5518037849853962,3,12.0,0.49698592209913056,1,2.0,0.643170197693017,0,0.0,0.7596132198301593,0,0.0,0.9391004563470915,0,0.0,1.0,1,2.0,0.6907823322307216,0,0.0,0.9725106471067007,10,41.0
30.0,80,0,15,0,80,0,62.0,0.775,7.946566669924695,3,11.0,0.6183244330795813,0,7.0,0.7684330536490319,0,0.0,0.9378477165356154,0,0.0,0.9771271424887428,3,15.0,0.454890279860829,2,6.0,0.30362030064034357,0,0.0,1.0,0,0.0,1.0,0,3.0,0.6488725511285279,0,7.0,0.4222312893817568,3,14.0,0.3933749735958307,1,8.0,0.36808879713538556,0,4.0,0.434705333752571,0,4.0,0.45446857654396794,3,12.0,0.59544549830719,0,0.0,0.6561807973680912,15,91.0
35.0,96,0,8,0,96,0,56.0,0.5833333333333334,9.157859535581416,0,5.0,0.6892941980729251,0,4.0,0.8736910249051522,0,0.0,0.8065843976003287,0,0.0,0.5367032610376429,0,10.0,0.5495935637108135,2,20.0,0.18253342178347148,0,0.0,0.9528755319426762,0,0.0,1.0,0,0.0,0.9605371477497066,0,0.0,0.8529906544962687,5,38.0,0.38726705447279003,0,4.0,0.7781917965837043,0,6.0,0.8055839572366966,0,4.0,0.8731913530865181,0,7.0,0.5452757055380493,1,4.0,0.6289349895626289,8,102.0
40.0,112,0,6,0,112,0,8.0,0.07142857142857142,10.09389862881247,0,0.0,0.804636420226904,0,0.0,0.8033693597686877,0,2.0,0.1954720260393538,1,2.0,0.3908365410558294,0,0.0,0.8681626906218,0,6.0,0.7667891882160474,0,4.0,0.5839157672000961,0,0.0,1.0,0,0.0,0.9032845128824055,0,0.0,0.7536927880567054,1,31.0,0.5930617021351356,0,8.0,0.7862973899592984,0,8.0,0.8930883620683716,0,4.0,0.8782133238685044,2,3.0,0.5675117982869364,2,6.0,0.5680676633238708,6,74.0
45.0,120,0,10,0,120,0,32.0,0.26666666666666666,9.878120670815266,2,2.0,0.6174931333537788,1,4.0,0.56861148421597,1,7.0,0.5042373100840207,0,0.0,0.8503301397835625,1,8.0,0.6114752475349603,0,2.0,0.9329479403471915,0,4.0,0.9405796102862171,0,2.0,0.3609583053423808,0,0.0,0.9187544310816207,2,6.0,0.5314250526862091,0,5.0,0.8807810664518896,0,4.0,0.721857927992359,0,2.0,0.8411302324366565,0,0.0,0.5557222475153363,1,2.0,0.5071101102882192,2,14.0,0.6863147709018527,10,62.0
50.0,136,0,14,0,136,0,57.0,0.41911764705882354,9.393284218477781,4,17.0,0.5839579215360481,0,5.0,0.760597115127818,1,12.0,0.828064656574978,0,0.0,0.7910141831895479,3,17.0,0.6469542133816113,1,3.0,0.27308180027377565,0,4.0,0.8085066653139608,0,2.0,0.9267516097204084,1,1.0,0.8070117825246993,0,1.0,0.6738257712570231,0,0.0,0.5787899903163648,0,6.0,0.8024950303415149,0,0.0,0.5562947188662392,0,4.0,0.37350505926111766,4,15.0,0.5139434928296398,0,0.0,0.6947631344999393,14,87.0
