step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,12.957715702773388,0,0.0,0.9276130144137145,0,0.0,0.9289550591103146,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9351151695134203,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9236461084684038,0,0.0,0.9356644177638562,0,0.0,0.9427935974418766,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9296726550311897,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.362538727343235,0,0.0,0.9668101837560574,0,0.0,0.9651442543316595,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9144859154485698,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.961008016210029,0,0.0,0.9685731377577217,0,0.0,0.9078141635833077,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9656173758115955,0,0.0,1.0,0,0.0
15.0,40,0,2,0,40,0,4.0,0.1,11.449378522283961,1,2.0,0.7888328072399798,0,0.0,0.7023065950900893,0,0.0,1.0,0,0.0,1.0,1,2.0,0.6419334640563196,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8224424452606194,0,0.0,0.9612034573943573,0,0.0,0.9617951059270278,0,0.0,0.741133789685142,0,0.0,1.0,0,0.0,0.9391689077656651,0,0.0,0.9707796001886185,0,0.0,0.9065760880962584,2,4.0
20.0,56,0,6,0,56,0,17.0,0.30357142857142855,10.316269199453327,1,2.0,0.6480541389008241,2,12.0,0.5332851520593744,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7629405501763442,0,3.0,0.3714384540535227,0,0.0,1.0,0,0.0,1.0,3,6.0,0.46349211216726,0,0.0,0.9503121419265422,0,0.0,0.9657947190000946,0,0.0,0.9464258599656667,0,0.0,1.0,0,0.0,0.9553023000665376,0,0.0,0.9534215216271127,0,0.0,0.9408541958013918,6,23.0
25.0,72,0,4,0,72,0,15.0,0.20833333333333334,10.747477070875382,3,14.0,0.6784268730510444,0,5.0,0.7054640467681753,0,0.0,1.0,0,0.0,0.9147078694891738,0,0.0,0.9675787078721448,0,3.0,0.9295573183229291,0,0.0,1.0,0,0.0,1.0,0,6.0,0.5328062810403776,0,0.0,0.9723994194111505,1,1.0,0.7775448443385246,0,4.0,0.7580706393536804,0,0.0,0.9704769411680957,0,0.0,0.9210954025653135,0,0.0,0.7902682658208666,0,0.0,0.8506820476059054,4,33.0
30.0,80,0,6,0,80,0,17.0,0.2125,10.933638977010308,0,10.0,0.7295906313971681,0,3.0,0.9091065924569286,0,0.0,1.0,0,0.0,0.9569129927780933,0,0.0,0.9462207243551146,0,3.0,0.9674278009955884,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8726619683283248,0,0.0,0.9522559134633805,1,10.0,0.6231007804545247,1,5.0,0.7681400281638227,0,4.0,0.8042842265216478,0,0.0,0.9546764595065343,2,5.0,0.49957354011954175,2,5.0,0.3422052226494487,6,45.0
35.0,96,0,5,0,96,0,13.0,0.13541666666666666,10.891432266023678,2,2.0,0.7444199009767214,0,0.0,0.6775766431798621,0,2.0,0.4183552445007166,0,0.0,0.9830625644412393,0,0.0,0.954460551592537,0,0.0,0.9254704800166053,0,0.0,0.9550646003724241,0,0.0,0.912800246444255,0,0.0,0.9594450794793856,0,0.0,0.9669127058994723,0,4.0,0.8495689431346871,2,13.0,0.6804618587807659,0,4.0,0.8535589926502002,1,2.0,0.787711924201564,0,3.0,0.5877689478374835,0,6.0,0.3503069979015691,5,36.0
40.0,112,0,14,0,112,0,51.0,0.45535714285714285,10.358370811717318,1,2.0,0.6614502776973515,2,10.0,0.5428563661687652,0,4.0,0.9564403368973184,0,0.0,0.6590664607018037,0,0.0,0.952426915802446,1,3.0,0.7228453513521937,0,0.0,0.9464906731428846,0,0.0,0.95907212211283,0,0.0,0.9270979579911373,0,0.0,0.9599575074383095,2,9.0,0.756262991630484,5,26.0,0.2914080182462547,1,5.0,0.5346124416582937,2,9.0,0.5890718757165179,0,2.0,0.9576629138418957,0,4.0,0.9065278992979959,14,74.0
45.0,120,0,6,0,120,0,24.0,0.2,8.8678068513864,2,10.0,0.5708917503195405,0,7.0,0.7053340163839957,0,7.0,0.7929795131792172,1,5.0,0.20958811730653143,0,0.0,0.9220709394825314,1,8.0,0.5567550946369012,0,0.0,0.9582730225921481,0,0.0,0.9472353139981979,0,0.0,0.782856472440642,0,0.0,0.9401158315741911,1,7.0,0.5525770691965677,1,25.0,0.22851730703360662,0,9.0,0.26212820774452,0,3.0,0.3996711742844208,0,2.0,0.940925327629194,0,4.0,0.8950573636020139,6,87.0
50.0,136,0,17,0,136,0,54.0,0.39705882352941174,9.408884035503618,1,8.0,0.6433423609413752,0,2.0,0.8830096269943694,1,8.0,0.5022989755628424,0,4.0,0.8387725423997928,0,0.0,0.9231713181917243,0,2.0,0.6548557003215514,0,3.0,0.39293242684718366,0,2.0,0.8588998093389691,2,7.0,0.5300743369533699,0,0.0,0.9099591270851033,4,20.0,0.3785771941080646,3,24.0,0.7029490120766166,0,4.0,0.7203650450669387,2,7.0,0.6495906415537974,1,2.0,0.7085265529872264,3,9.0,0.45423459407876166,17,102.0
