step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
240.0,107,0,14,25,132,0,325.0,3.0373831775700935,10.978745324883176,14,363.0,0.7564307624689085,14,363.0
245.0,110,0,15,25,135,0,354.0,3.2181818181818183,10.275711998798412,15,444.0,0.6581800781874807,15,444.0
250.0,113,1,12,28,141,0,375.0,3.3185840707964602,10.235305734598235,12,418.0,0.7223668773001787,12,418.0
255.0,113,0,13,31,144,0,409.0,3.6194690265486726,10.403007005431677,13,482.0,0.704611890218953,13,482.0
260.0,117,0,16,34,151,0,488.0,4.170940170940171,10.914496366179732,16,531.0,0.7596161591224225,16,531.0
265.0,121,0,13,35,156,0,515.0,4.256198347107438,11.028473990843922,13,610.0,0.7319717304208196,13,610.0
270.0,125,0,9,35,160,0,522.0,4.176,11.128072483051461,9,575.0,0.7605275786083489,9,575.0
275.0,130,1,14,37,167,0,584.0,4.492307692307692,11.009400215102543,14,640.0,0.7281010999929044,14,640.0
280.0,134,0,19,38,172,0,670.0,5.0,11.119469314825531,19,723.0,0.7290851041724363,19,723.0
285.0,140,0,19,41,181,0,733.0,5.235714285714286,10.681142769594869,19,808.0,0.6787099451932939,19,808.0
290.0,141,0,19,47,188,0,780.0,5.531914893617022,10.28844283284589,19,824.0,0.6728383843760952,19,824.0
295.0,141,0,19,52,193,0,852.0,6.042553191489362,10.294442727726116,19,935.0,0.6508305467428741,19,935.0
300.0,144,0,22,54,198,0,934.0,6.486111111111111,10.633415113652685,22,980.0,0.7036821828634249,22,980.0
305.0,145,0,20,58,203,0,998.0,6.882758620689655,10.591356265602453,20,1090.0,0.6718250964503674,20,1090.0
310.0,143,0,17,64,207,0,1054.0,7.370629370629371,10.531482140057442,17,1109.0,0.7037843582962009,17,1109.0
315.0,141,1,20,69,210,0,1120.0,7.943262411347518,10.3220869305064,20,1198.0,0.644493792460838,20,1198.0
320.0,145,0,28,71,216,0,1246.0,8.593103448275862,10.291402663252782,28,1299.0,0.6329712063653807,28,1299.0
325.0,147,0,25,74,221,0,1324.0,9.006802721088436,10.349296434708009,25,1437.0,0.6262394415162601,25,1437.0
330.0,147,0,19,78,225,0,1344.0,9.142857142857142,10.143898823304532,19,1417.0,0.6415949273552665,19,1417.0
335.0,153,0,21,82,235,0,1432.0,9.359477124183007,10.043232090940117,21,1521.0,0.6164393713024782,21,1521.0
340.0,157,0,29,87,244,0,1562.0,9.949044585987261,10.182478490923362,29,1640.0,0.6332531101585771,29,1640.0
345.0,160,0,28,92,252,0,1661.0,10.38125,10.051998929432985,28,1793.0,0.6107140953940038,28,1793.0
350.0,161,0,25,97,258,0,1709.0,10.614906832298137,9.958569734459667,25,1806.0,0.6383707850716562,25,1806.0
355.0,164,0,28,102,266,0,1801.0,10.981707317073171,9.644905778173051,28,1942.0,0.5979070084041679,28,1942.0
360.0,166,0,30,107,273,0,1923.0,11.58433734939759,9.925494274506928,30,2023.0,0.6501469087669223,30,2023.0
365.0,172,1,30,110,282,0,2012.0,11.69767441860465,10.00403324312781,30,2144.0,0.6424882919801881,30,2144.0
370.0,174,0,24,113,287,0,2054.0,11.804597701149426,10.244552799876779,24,2138.0,0.6906151320724336,24,2138.0
375.0,175,0,27,117,292,0,2153.0,12.302857142857142,10.066582864322097,27,2270.0,0.6449436383320382,27,2270.0
380.0,174,0,27,123,297,0,2264.0,13.011494252873563,10.236530500689275,27,2354.0,0.6743625970424567,27,2354.0
385.0,178,0,28,126,304,0,2134.0,11.98876404494382,10.164070113556525,28,2491.0,0.6460973652610613,28,2491.0
390.0,179,0,32,132,311,0,1621.0,9.05586592178771,9.951686656507606,32,2108.0,0.6392017484799641,32,2108.0
395.0,183,0,31,138,321,0,1715.0,9.371584699453551,9.50656233901837,31,2272.0,0.5911306557567556,31,2272.0
400.0,181,1,42,145,326,0,1885.0,10.414364640883978,8.876769054105683,42,2395.0,0.5567977467945654,42,2395.0
405.0,184,1,47,149,333,0,1967.0,10.690217391304348,8.981053224019071,47,2648.0,0.5609116078010495,47,2648.0
410.0,187,0,27,151,338,0,1771.0,9.470588235294118,8.911292288043136,27,2502.0,0.565240097076544,27,2502.0
415.0,189,1,32,153,342,0,1839.0,9.73015873015873,8.82816805663441,32,2621.0,0.5393831243951825,32,2621.0
420.0,189,0,45,162,351,0,2030.0,10.74074074074074,8.719390058607715,45,2813.0,0.5325406360588878,45,2813.0
425.0,194,0,53,169,363,0,2223.0,11.458762886597938,8.384188515075012,53,3041.0,0.5120931407492632,53,3041.0
430.0,195,0,38,174,369,0,2235.0,11.461538461538462,8.726752529885939,38,3019.0,0.5703494670550705,38,3019.0
435.0,204,0,36,179,383,0,1769.0,8.67156862745098,8.86943310539747,36,3197.0,0.5793441417406383,36,3197.0
440.0,210,1,49,185,395,0,696.0,3.3142857142857145,8.515835866667562,49,2615.0,0.5488538978972165,49,2615.0
445.0,219,2,62,187,406,0,919.0,4.19634703196347,8.755508753212359,62,2136.0,0.5620656857308091,62,2136.0
450.0,229,1,71,190,419,0,1252.0,5.467248908296943,8.513555552902421,71,2156.0,0.5422431329405071,71,2156.0
455.0,240,0,80,190,430,0,1632.0,6.8,8.524819138403787,80,2475.0,0.5283172249020308,80,2475.0
460.0,242,0,80,196,438,0,1847.0,7.632231404958677,8.381544472011436,80,2887.0,0.5205596926354314,80,2887.0
465.0,244,0,60,201,445,0,1723.0,7.061475409836065,8.513307822180396,60,2863.0,0.5616905872226106,60,2863.0
470.0,247,0,63,207,454,0,1834.0,7.425101214574899,8.462989769361387,63,3168.0,0.5524880219880292,63,3168.0
475.0,258,2,54,209,467,0,1221.0,4.732558139534884,8.476187931253243,54,2934.0,0.5585581583291293,54,2934.0
480.0,271,1,56,213,484,0,1142.0,4.214022140221402,8.459994750967468,56,3208.0,0.5484392016934513,56,3208.0
485.0,278,0,75,219,497,0,1423.0,5.118705035971223,8.068360892389688,75,3498.0,0.5171561127354886,75,3498.0
490.0,280,0,95,223,503,0,1744.0,6.228571428571429,7.615118790395562,95,3943.0,0.4790450788412734,95,3943.0
495.0,285,1,87,227,512,0,1716.0,6.021052631578947,7.284163285020503,87,3962.0,0.46433625980190296,87,3962.0
500.0,285,1,98,232,517,0,2064.0,7.242105263157895,6.921783682561598,98,4411.0,0.4296857523856488,98,4411.0
505.0,291,0,121,236,527,0,2584.0,8.879725085910653,6.467057115477042,121,4910.0,0.3904802791720907,121,4910.0
510.0,300,1,140,239,539,0,3246.0,10.82,6.327626718569698,140,5564.0,0.3823221707225829,140,5564.0
515.0,310,0,157,240,550,0,3995.0,12.887096774193548,6.237941495851529,157,6313.0,0.3746727013011947,157,6313.0
520.0,315,0,164,243,558,0,4801.0,15.24126984126984,6.096310175497498,164,7119.0,0.3697393175002523,164,7119.0
525.0,320,0,177,245,565,0,5655.0,17.671875,5.539254555752721,177,7973.0,0.3270979699903189,177,7973.0
530.0,326,2,191,251,577,0,6577.0,20.17484662576687,5.164561252608281,191,8895.0,0.30965933638915494,191,8895.0
535.0,328,1,202,258,586,0,7558.0,23.04268292682927,4.725414043634979,202,9876.0,0.28642790367492194,202,9876.0
540.0,337,0,213,258,595,0,8605.0,25.534124629080118,4.778364866237456,213,10923.0,0.2880473874590858,213,10923.0
545.0,342,0,220,264,606,0,9687.0,28.32456140350877,4.415973502317077,220,12005.0,0.2716184575027961,220,12005.0
550.0,350,1,232,267,617,0,10825.0,30.928571428571427,4.243753956897012,232,13143.0,0.26390277065487555,232,13143.0
555.0,356,1,239,272,628,0,12006.0,33.7247191011236,4.1651699118635666,239,14324.0,0.27041832242901664,239,14324.0
560.0,359,0,245,276,635,0,13218.0,36.81894150417827,3.9981945129942975,245,15536.0,0.2657617842538714,245,15536.0
565.0,366,1,256,280,646,0,14476.0,39.55191256830601,3.762897391818752,256,16794.0,0.2542942114020888,256,16794.0
570.0,381,0,266,281,662,0,15786.0,41.43307086614173,3.5914363776425593,266,18104.0,0.24397227186288004,266,18104.0
575.0,391,0,278,284,675,0,16719.0,42.75959079283887,3.42032161409899,278,19487.0,0.23708916115950354,278,19487.0
580.0,402,0,259,284,686,0,15924.0,39.61194029850746,3.588143740449529,259,19613.0,0.24952380652867648,259,19613.0
585.0,408,0,238,285,693,0,15477.0,37.93382352941177,3.7532514119457407,238,20294.0,0.2537353985238232,238,20294.0
590.0,415,1,238,287,702,0,15669.0,37.7566265060241,3.8112353486424144,238,21392.0,0.25010901796784046,238,21392.0
595.0,425,0,248,287,712,0,16204.0,38.12705882352941,3.8262173892368265,248,22583.0,0.24515240873910582,248,22583.0
600.0,433,1,263,287,720,0,17161.0,39.63279445727483,3.700882781470054,263,23868.0,0.2340336797068726,263,23868.0
605.0,444,0,276,287,731,0,18347.0,41.322072072072075,3.6030669195537564,276,25219.0,0.22349444792950574,276,25219.0
610.0,450,0,294,289,739,0,19007.0,42.23777777777778,3.474640136739921,294,26474.0,0.21657997508299778,294,26474.0
615.0,466,2,287,289,755,0,16585.0,35.59012875536481,3.4327875682890814,287,26181.0,0.21187167580566418,287,26181.0
620.0,476,1,285,289,765,0,14968.0,31.445378151260503,3.635909376211965,285,26448.0,0.21750316813749557,285,26448.0
625.0,486,0,260,289,775,0,12316.0,25.34156378600823,3.999756547523802,260,25485.0,0.22681692593804775,260,25485.0
630.0,494,0,257,290,784,0,11384.0,23.044534412955464,4.4956511891410935,257,24723.0,0.24165892744382683,257,24723.0
635.0,505,2,234,291,796,0,10214.0,20.225742574257424,4.717154682563603,234,25546.0,0.2505659986268536,234,25546.0
640.0,513,3,219,296,809,0,8754.0,17.064327485380115,4.5457139870304974,219,25286.0,0.24322747707568,219,25286.0
645.0,516,1,205,304,820,0,7771.0,15.060077519379846,4.684376077509955,205,25610.0,0.25826468201057995,205,25610.0
650.0,522,0,193,305,827,0,7118.0,13.636015325670497,4.974972654679857,193,25070.0,0.2644987067041661,193,25070.0
655.0,526,1,175,308,834,0,6856.0,13.034220532319392,5.418083352557997,175,24716.0,0.27908309455949054,175,24716.0
660.0,533,0,182,311,844,0,6943.0,13.02626641651032,5.547407771996645,182,25434.0,0.28316279774202313,182,25434.0
665.0,540,0,207,312,852,0,7349.0,13.60925925925926,5.276235718694208,207,26274.0,0.2593764678744188,207,26274.0
670.0,552,0,245,314,866,0,8162.0,14.78623188405797,4.884559162062461,245,27398.0,0.22825172117806905,245,27398.0
675.0,555,0,283,318,873,0,9402.0,16.94054054054054,4.578744693898592,283,28739.0,0.2078422217568436,283,28739.0
680.0,558,0,319,325,883,0,10912.0,19.555555555555557,4.2337109360118035,319,30259.0,0.18867489778645585,319,30259.0
685.0,559,1,354,334,893,0,12627.0,22.58855098389982,3.782150158101614,354,31976.0,0.16720477603914985,354,31976.0
690.0,562,1,375,345,907,0,14143.0,25.165480427046262,3.42037510679773,375,33831.0,0.15404009509368977,375,33831.0
695.0,564,0,377,354,918,0,14359.0,25.45921985815603,3.2452239386858417,377,33517.0,0.1519119693172353,377,33517.0
700.0,565,0,368,363,928,0,14809.0,26.21061946902655,3.4100393501287165,368,33357.0,0.1695604368667142,368,33357.0
705.0,569,1,321,373,942,0,14306.0,25.142355008787348,3.7620221334668993,321,33651.0,0.19824711234929962,321,33651.0
710.0,565,1,312,387,952,0,14488.0,25.642477876106195,3.637397177295848,312,35244.0,0.19580006685576457,312,35244.0
715.0,564,2,288,400,964,0,13446.0,23.840425531914892,3.492624424451854,288,35299.0,0.19593053599041696,288,35299.0
720.0,570,0,282,406,976,0,12881.0,22.598245614035086,3.6662956876454573,282,35620.0,0.20861039067270323,282,35620.0
725.0,583,1,267,409,992,0,12103.0,20.759862778730703,3.9637269148341545,267,35476.0,0.2226383737276749,267,35476.0
730.0,590,0,257,410,1000,0,11441.0,19.391525423728815,4.239530547705601,257,35192.0,0.22367269854738742,257,35192.0
735.0,599,0,250,412,1011,0,10670.0,17.813021702838064,4.337661717923433,250,36137.0,0.2242769877508256,250,36137.0
740.0,611,0,248,412,1023,0,10375.0,16.98036006546645,4.331971620904744,248,37176.0,0.22276863564144544,248,37176.0
745.0,623,1,259,412,1035,0,10193.0,16.36115569823435,4.221637239524935,259,38460.0,0.21291788068960618,259,38460.0
750.0,633,1,277,413,1046,0,8069.0,12.747235387045814,4.186391708365636,277,38084.0,0.21010368262975687,277,38084.0
755.0,641,1,309,418,1059,0,7693.0,12.001560062402497,4.102981645327839,309,38774.0,0.20892547398185018,309,38774.0
760.0,642,0,347,429,1071,0,8228.0,12.81619937694704,3.73476683660675,347,39092.0,0.18749583884656487,347,39092.0
765.0,647,1,381,437,1084,0,8946.0,13.826893353941268,3.395874079203317,381,40940.0,0.1679225672012479,381,40940.0
770.0,658,1,406,442,1100,0,9174.0,13.94224924012158,3.331814748383451,406,40855.0,0.16620148521884556,406,40855.0
775.0,672,1,416,445,1117,0,9794.0,14.574404761904763,3.393193131801598,416,41465.0,0.17068369661810584,416,41465.0
780.0,671,0,428,457,1128,0,10752.0,16.023845007451566,3.490007984498357,428,41101.0,0.17937332032279288,428,41101.0
785.0,674,0,423,469,1143,0,11760.0,17.448071216617212,3.6719213762916243,423,40259.0,0.18801311371730092,423,40259.0
790.0,678,1,419,479,1157,0,12375.0,18.25221238938053,3.692742506290875,419,41940.0,0.19350870237705192,419,41940.0
795.0,680,1,397,489,1169,0,11621.0,17.08970588235294,3.5612004339940655,397,42370.0,0.1909844241342268,397,42370.0
800.0,697,0,383,490,1187,0,10916.0,15.661406025824965,3.6250831312107956,383,43178.0,0.19240981183745753,383,43178.0
805.0,715,0,365,491,1206,0,10153.0,14.2,3.938967231410173,365,43131.0,0.20444775144319188,365,43131.0
810.0,725,4,333,493,1218,0,9019.0,12.44,4.402559377122556,333,42944.0,0.22358694377971775,333,42944.0
815.0,733,4,327,499,1232,0,8503.0,11.600272851296044,4.518050955567012,327,43146.0,0.22263650500101045,327,43146.0
820.0,747,0,308,502,1249,0,7671.0,10.269076305220883,4.669844727017305,308,42852.0,0.22245189859754474,308,42852.0
825.0,756,1,299,504,1260,0,7522.0,9.94973544973545,4.942595012412238,299,42650.0,0.23388769133556178,299,42650.0
830.0,763,0,297,512,1275,0,7763.0,10.174311926605505,4.802862828119512,297,43953.0,0.22947090872515508,297,43953.0
835.0,775,3,311,516,1291,0,7978.0,10.294193548387097,4.500925871409271,311,45007.0,0.2091249719796273,311,45007.0
840.0,783,0,328,525,1308,0,8662.0,11.062579821200512,4.3322598866382105,328,46509.0,0.20536793131657252,328,46509.0
845.0,788,0,343,535,1323,0,9159.0,11.623096446700508,4.091217075549914,343,46474.0,0.19435750038363886,343,46474.0
850.0,790,1,378,544,1334,0,10210.0,12.924050632911392,3.8159465936428854,378,47605.0,0.17818292943892242,378,47605.0
855.0,790,0,407,554,1344,0,11546.0,14.615189873417721,3.678267346234434,407,48452.0,0.1728584959510213,407,48452.0
860.0,794,0,433,565,1359,0,12645.0,15.925692695214106,3.434298144902885,433,50253.0,0.16299230036756263,433,50253.0
865.0,801,2,442,574,1375,0,12359.0,15.429463171036204,3.294158170779753,442,50110.0,0.15962789353275172,442,50110.0
870.0,799,1,458,589,1388,0,12870.0,16.107634543178975,3.145159822458498,458,50495.0,0.15703434615966458,458,50495.0
875.0,800,1,482,603,1403,0,13402.0,16.7525,3.113419951432511,482,49876.0,0.15638139958975425,482,49876.0
880.0,792,3,490,621,1413,0,14359.0,18.130050505050505,3.095314137822932,490,49299.0,0.15345139158941098,490,49299.0
885.0,795,2,498,631,1426,0,15137.0,19.040251572327044,3.2023061075826087,498,48497.0,0.15528149255568824,498,48497.0
890.0,804,1,466,637,1441,0,14749.0,18.34452736318408,3.417932525479757,466,47006.0,0.16237937125779872,466,47006.0
895.0,811,0,446,641,1452,0,14988.0,18.480887792848335,3.6543242053329363,446,46557.0,0.1670165006449361,446,46557.0
900.0,822,1,451,644,1466,0,15567.0,18.937956204379564,3.6962909035590723,451,48490.0,0.16872812723124184,451,48490.0
905.0,833,0,437,646,1479,0,14540.0,17.45498199279712,3.6356277815288993,437,49078.0,0.16647074774055337,437,49078.0
910.0,836,1,430,650,1486,0,13822.0,16.533492822966508,3.550206189911828,430,50037.0,0.15806845375749465,430,50037.0
915.0,853,3,426,651,1504,0,13255.0,15.539273153575616,3.8278358884836448,426,50311.0,0.17134575936713958,426,50311.0
920.0,862,0,407,655,1517,0,12896.0,14.960556844547563,4.058094651733547,407,50531.0,0.17886908788612532,407,50531.0
925.0,871,4,360,659,1530,0,11317.0,12.993111366245694,4.265133813742709,360,50576.0,0.18518173903422472,360,50576.0
930.0,880,3,355,666,1546,0,10917.0,12.405681818181819,4.352176215592183,355,51967.0,0.19364415363548826,355,51967.0
935.0,884,2,366,678,1562,0,10314.0,11.667420814479637,4.122930138045462,366,53063.0,0.18543557848681885,366,53063.0
940.0,881,1,381,694,1575,0,10044.0,11.400681044267877,3.693918563719809,381,55033.0,0.16441904207894106,381,55033.0
945.0,869,0,379,712,1581,0,9236.0,10.628308400460298,3.3713877331767574,379,55669.0,0.15312394804208004,379,55669.0
950.0,868,0,404,725,1593,0,9360.0,10.783410138248849,3.201860782841093,404,56978.0,0.14855010323585985,404,56978.0
955.0,868,2,432,735,1603,0,9952.0,11.465437788018432,3.11086653580469,432,58029.0,0.1480873660954234,432,58029.0
960.0,872,0,464,744,1616,0,10672.0,12.238532110091743,2.9137098715049885,464,60283.0,0.13886117377986906,464,60283.0
965.0,878,1,475,753,1631,0,10450.0,11.902050113895216,2.6923371033522008,475,59781.0,0.1282436959806897,475,59781.0
970.0,889,0,481,759,1648,0,10939.0,12.304836895388076,2.6868399419887887,481,60570.0,0.12795793760467117,481,60570.0
975.0,889,0,505,771,1660,0,11975.0,13.470191226096738,2.6527021425289514,505,60618.0,0.1257466435487394,505,60618.0
980.0,886,1,519,787,1673,0,12902.0,14.562076749435667,2.786669577282947,519,60224.0,0.13437460520653827,519,60224.0
985.0,883,0,536,801,1684,0,13973.0,15.824462061155153,2.9200475510433836,536,59471.0,0.14316148203307583,536,59471.0
990.0,892,4,487,808,1700,0,13873.0,15.552690582959642,3.154109600864931,487,58714.0,0.15157720590008544,487,58714.0
995.0,908,0,495,810,1718,0,14712.0,16.202643171806166,3.1568022106045124,495,60892.0,0.15022405658247145,495,60892.0
1000.0,917,0,502,813,1730,0,14520.0,15.834242093784079,3.10575636843636,502,61337.0,0.14635619611052494,502,61337.0
1005.0,930,4,508,814,1744,0,14382.0,15.464516129032258,3.0915480098612425,508,62741.0,0.14203752681540363,508,62741.0
1010.0,942,1,508,817,1759,0,14435.0,15.323779193205946,3.260780746470857,508,63188.0,0.14886158712700318,508,63188.0
1015.0,956,0,510,820,1776,0,14485.0,15.151673640167363,3.4211524651409326,510,63649.0,0.1501518654803862,510,63649.0
1020.0,966,3,510,824,1790,0,14726.0,15.244306418219463,3.5091031611828907,510,63702.0,0.14606263955037255,510,63702.0
1025.0,980,0,465,825,1805,0,14141.0,14.429591836734694,3.7984374869415958,465,63592.0,0.1565366038296878,465,63592.0
1030.0,974,0,465,838,1812,0,14203.0,14.582135523613964,3.7173224404877474,465,65478.0,0.15538017081522462,465,65478.0
1035.0,964,0,467,854,1818,0,13782.0,14.296680497925312,3.2632717652753467,467,67006.0,0.1330412765162555,467,67006.0
1040.0,963,0,476,866,1829,0,13571.0,14.092419522326065,3.0368518617558617,476,68614.0,0.12280225937433104,476,68614.0
1045.0,960,0,491,883,1843,0,13690.0,14.260416666666666,2.7573967244602886,491,69642.0,0.11106894037375781,491,69642.0
1050.0,961,0,500,891,1852,0,13664.0,14.218522372528616,2.6677520514567448,500,71913.0,0.10728689176055133,500,71913.0
1055.0,968,1,471,899,1867,0,13011.0,13.441115702479339,2.753614645006631,471,71451.0,0.11967484654979516,471,71451.0
1060.0,978,0,468,908,1886,0,12725.0,13.01124744376278,2.9303342556431033,468,72078.0,0.13756603490015668,468,72078.0
1065.0,985,2,458,915,1900,0,12771.0,12.965482233502538,3.0767924009281957,458,71626.0,0.14517372040172655,458,71626.0
1070.0,981,0,462,931,1912,0,13122.0,13.376146788990825,3.0475560510617643,462,73660.0,0.149264765308171,462,73660.0
1075.0,972,0,466,944,1916,0,12795.0,13.16358024691358,2.8222107164835153,466,73911.0,0.1388265800254278,466,73911.0
1080.0,973,1,474,953,1926,0,12982.0,13.34224049331963,2.713756288653919,474,75201.0,0.13178473787257208,474,75201.0
1085.0,972,1,494,967,1939,0,13620.0,14.012345679012345,2.590838179808099,494,75818.0,0.12364154713636417,494,75818.0
1090.0,981,0,515,973,1954,0,14183.0,14.45769622833843,2.688613659278251,515,76166.0,0.12097663838097934,515,76166.0
1095.0,986,0,532,978,1964,0,14825.0,15.035496957403652,2.7598491250942754,532,76798.0,0.11733835483994855,532,76798.0
1100.0,988,0,547,984,1972,0,15632.0,15.821862348178138,2.9105457060326976,547,76739.0,0.11824253615669511,547,76739.0
1105.0,999,0,555,985,1984,0,16656.0,16.67267267267267,3.0908883404027123,555,77827.0,0.1216764025704505,555,77827.0
1110.0,1011,1,551,986,1997,0,17578.0,17.386745796241346,3.2458576397617924,551,78828.0,0.12253932494615848,551,78828.0
1115.0,1015,3,557,995,2010,0,18584.0,18.30935960591133,3.238819399823314,557,80903.0,0.12522371185813005,557,80903.0
1120.0,1018,0,536,1003,2021,0,18853.0,18.519646365422396,3.114449052136074,536,82761.0,0.12260812838741773,536,82761.0
1125.0,1013,0,556,1017,2030,0,19873.0,19.61796643632774,2.897957549823859,556,84989.0,0.11513551207451898,556,84989.0
1130.0,1028,2,555,1020,2048,0,20159.0,19.609922178988327,2.737473979559087,555,86272.0,0.10675234388640618,555,86272.0
1135.0,1032,1,540,1028,2060,0,19200.0,18.6046511627907,2.6288606631442666,540,86788.0,0.10302352155661891,540,86788.0
1140.0,1029,0,527,1040,2069,0,18784.0,18.254616132167154,2.605843481868215,527,87385.0,0.10619070336582107,527,87385.0
1145.0,1024,0,518,1056,2080,0,18911.0,18.4677734375,2.5703308158110736,518,86358.0,0.10705773133722353,518,86358.0
1150.0,1019,3,508,1065,2084,0,19544.0,19.179587831207066,2.6481100796707144,508,85925.0,0.10649868922191448,508,85925.0
