step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.113972860911433,0,0.0,0.9625741792055867,0,0.0,0.9601897696433466,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9591247349741335,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9604502143547442,0,0.0,0.9593235963288658,0,0.0,0.9635745121956922,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9611723989656442,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.10508930017113,0,0.0,0.9417473506728575,0,0.0,0.9526262798876153,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9561135449043878,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9554061314332187,0,0.0,0.9510448969027915,0,0.0,0.9042409829542369,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9027964356892613,0,0.0,1.0,0,0.0
15.0,40,0,1,0,40,0,1.0,0.025,11.705108368084348,0,0.0,0.7038500836944931,1,1.0,0.7642135303602744,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9884881393023434,0,0.0,0.9405747331670687,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9883259882593657,0,0.0,0.6810225351572863,0,0.0,0.9838238588096612,0,0.0,0.8499742126672067,0,0.0,0.9677950064082155,0,0.0,1.0,0,0.0,0.9449028010614895,0,0.0,0.7641868956102321,1,1.0
20.0,56,0,7,0,56,0,31.0,0.5535714285714286,10.958672526604444,3,12.0,0.6357159624986832,2,10.0,0.6781052787765592,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9599228984878406,0,0.0,0.9124355060735612,0,0.0,1.0,0,0.0,1.0,0,0.0,0.949143640589122,2,9.0,0.5514663394957159,0,0.0,0.9493358547167297,0,0.0,0.9379084271167034,0,0.0,0.9635996243086599,0,0.0,1.0,0,0.0,0.9590345396947737,0,0.0,0.936382034606702,7,31.0
25.0,72,0,0,0,72,0,0.0,0.0,10.280724363368908,0,5.0,0.667970270128723,0,2.0,0.6410116737456555,0,0.0,0.9498763649190644,0,0.0,1.0,0,0.0,0.9622809022714084,0,0.0,0.8178702187711405,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7669356605502472,0,3.0,0.5703138733772447,0,4.0,0.7643196527610288,0,4.0,0.7735020136053753,0,0.0,0.9607849489993192,0,4.0,0.46790173776379157,0,0.0,0.9407872146839485,0,0.0,0.7776155087430252,0,22.0
30.0,80,0,8,0,80,0,28.0,0.35,10.122261277879383,1,4.0,0.6660736725170443,2,7.0,0.6393803387788859,0,0.0,0.9362182635265973,0,0.0,1.0,0,0.0,0.7600893238636166,2,4.0,0.4578317682079458,0,0.0,1.0,0,0.0,1.0,1,5.0,0.6097588758552862,0,0.0,0.8670534114886734,1,5.0,0.7620596920980443,0,4.0,0.7913935348359751,0,0.0,0.972758783750609,0,4.0,0.8758979156146754,0,0.0,0.9339993587820183,1,5.0,0.6747060340881624,8,38.0
35.0,96,0,8,0,96,0,25.0,0.2604166666666667,9.03976335794406,1,5.0,0.6392780673388477,1,7.0,0.4825981278222565,0,2.0,0.7658825555812178,0,0.0,1.0,2,5.0,0.5637305691495518,0,2.0,0.37102450477247906,0,2.0,0.4375384410090891,0,0.0,1.0,0,4.0,0.5394806834897385,0,0.0,0.9623632626506715,2,12.0,0.6604658986390718,2,8.0,0.7101839630535586,0,3.0,0.45358095306051377,0,2.0,0.8325839774610344,0,0.0,0.9530872370916259,0,1.0,0.7310414221200355,8,53.0
40.0,112,0,15,0,112,0,62.0,0.5535714285714286,9.39476988459983,3,13.0,0.6197067083307631,3,17.0,0.6445081030034255,0,2.0,0.9154744326330142,0,0.0,1.0,0,1.0,0.6970039358096516,0,4.0,0.4093750434855318,0,4.0,0.8704226130983456,0,0.0,1.0,0,4.0,0.925958511713351,1,1.0,0.6502121408750272,5,28.0,0.47946119023897427,1,5.0,0.2724903589236554,1,12.0,0.6494854304505657,1,1.0,0.4749611153766578,0,0.0,0.9340676198697752,0,0.0,0.9294831278557495,15,92.0
45.0,120,0,8,0,120,0,31.0,0.25833333333333336,8.912675262730628,0,8.0,0.5346102441607439,0,12.0,0.6630524311132641,0,2.0,0.8762837565419598,0,2.0,0.3586369141359348,0,0.0,0.9644445567625161,0,4.0,0.95369655077322,0,4.0,0.9242408662557123,0,0.0,1.0,0,4.0,0.9122375358841818,3,12.0,0.44416285243056064,0,23.0,0.3527096228598894,5,31.0,0.200431512324149,0,7.0,0.9120104925933697,0,1.0,0.2974057220685093,0,0.0,0.7165464170140109,0,0.0,0.6677536841046734,8,110.0
50.0,136,0,14,0,136,0,42.0,0.3088235294117647,9.156296449133109,2,8.0,0.6261716838354071,2,8.0,0.45190934103877445,0,2.0,0.8969135272172001,0,4.0,0.8543866200163208,0,0.0,0.7442101317971039,0,4.0,0.8811457033107161,0,2.0,0.4003510433662572,0,0.0,0.9909418545668789,2,3.0,0.5491592479112748,0,4.0,0.6957522846883997,1,8.0,0.7247305739938823,0,28.0,0.6876381706728638,0,4.0,0.9059606904735891,1,6.0,0.32042024146517895,3,11.0,0.5578294076553686,3,14.0,0.3004801523470688,14,106.0
55.0,152,0,16,0,152,0,62.0,0.40789473684210525,9.35132956764641,0,4.0,0.7005735760764727,1,14.0,0.40586506855620463,1,8.0,0.708226368473459,0,4.0,0.8690973572608706,2,9.0,0.7346666986655914,0,0.0,0.6824943907560705,5,17.0,0.17475972375142423,0,0.0,1.0,0,5.0,0.6149822548832314,0,0.0,0.9224747791623478,1,3.0,0.7641745818875201,0,8.0,0.891570562547065,0,4.0,0.3353045463549982,1,5.0,0.7139688849729461,5,31.0,0.4002414871063513,0,9.0,0.6772425695685975,16,121.0
60.0,158,0,17,2,160,0,65.0,0.41139240506329117,9.152211231012426,1,4.0,0.7095277455072346,4,23.0,0.5944539701755386,1,11.0,0.7669954450505096,1,6.0,0.5438646042663984,1,1.0,0.5411585739800329,0,0.0,1.0,0,16.0,0.731985727436327,0,4.0,0.3943421738180809,0,4.0,0.8521435395438794,1,4.0,0.6298871488128984,4,15.0,0.5372122848777138,1,5.0,0.36993641162085356,1,7.0,0.692498699408979,1,10.0,0.8285945790883839,1,26.0,0.581946887339865,0,8.0,0.82211010695346,17,144.0
65.0,172,0,18,4,176,0,100.0,0.5813953488372093,8.92975458237803,1,4.0,0.6683565901056056,0,21.0,0.6685506175388162,1,18.0,0.6760552838314755,1,5.0,0.173968352224935,2,10.0,0.4861665101159363,0,4.0,0.8385789614310635,0,0.0,0.8603321889872139,0,7.0,0.7578285320776208,1,7.0,0.7393941518309174,3,18.0,0.42458440238614936,4,35.0,0.3857728891874346,5,27.0,0.10774514853306759,0,2.0,0.8578858133015232,0,2.0,0.4479820077901095,0,3.0,0.8346124131859135,0,4.0,0.8259115097739083,18,167.0
70.0,182,0,13,10,192,0,49.0,0.2692307692307692,9.31465549552197,2,8.0,0.6694781315662651,1,6.0,0.5316474743801025,0,4.0,0.7292271883823246,3,15.0,0.6410180208862948,1,8.0,0.5864923981024761,0,4.0,0.9116416487358134,0,0.0,0.6176386925317242,0,7.0,0.8680722178345405,3,15.0,0.5643136698924749,0,11.0,0.6164339385105267,0,29.0,0.5886556435803211,0,30.0,0.5512724767345752,0,0.0,0.7897087350197224,3,12.0,0.175555290407788,0,0.0,0.72849835114221,0,8.0,0.785784837360622,13,157.0
75.0,187,0,11,13,200,0,32.0,0.1711229946524064,8.947476342228558,0,4.0,0.6214832158444078,2,9.0,0.45180427350914326,0,2.0,0.8850316205492347,1,14.0,0.7537518852350688,3,14.0,0.6126311776671222,0,4.0,0.5958623395140666,0,1.0,0.18768273731920554,0,3.0,0.8549871944592814,1,13.0,0.43710144111992644,0,0.0,0.8742099006000716,0,2.0,0.8019196877571778,0,8.0,0.8454734121428757,1,3.0,0.19297809302276833,0,9.0,0.6979445800171148,3,8.0,0.5258221469987882,0,4.0,0.6929142905621949,11,98.0
80.0,202,0,23,14,216,0,107.0,0.5297029702970297,9.67260947751198,2,9.0,0.6734601353895245,1,12.0,0.6293274490999481,0,0.0,0.8959999012844883,5,23.0,0.3679917939040789,4,34.0,0.6129844499368593,5,18.0,0.1357728866255729,0,0.0,0.9371578076341964,1,5.0,0.4359687001794205,1,10.0,0.7856835308002591,0,0.0,0.820669333208538,1,1.0,0.558247387959788,0,4.0,0.8808859366203596,3,18.0,0.5552709739352952,0,5.0,0.8825913772816332,0,4.0,0.5562227558881676,0,8.0,0.84057962112262,23,151.0
85.0,214,0,14,18,232,0,40.0,0.18691588785046728,9.085912248490601,0,1.0,0.7086758402596506,1,13.0,0.7007824747740636,0,4.0,0.717930367250244,3,30.0,0.2755711757772895,1,24.0,0.4080570998368828,0,16.0,0.3924842715809109,0,4.0,0.7563919354307597,0,11.0,0.17386469240917932,1,6.0,0.8539576220843023,1,5.0,0.5038974494837155,5,19.0,0.3831342565710509,1,5.0,0.43126118355643317,0,10.0,0.7801634068164278,0,1.0,0.7940133421508874,1,5.0,0.8164877090487135,0,4.0,0.8487967576998214,14,158.0
90.0,203,0,23,37,240,0,87.0,0.42857142857142855,9.193697949400013,1,4.0,0.6575710771982114,3,17.0,0.41881896610426117,0,4.0,0.6442032536084475,4,23.0,0.5928650534438806,5,19.0,0.3742933595394224,1,9.0,0.8321785952934176,0,4.0,0.8302091132235041,2,14.0,0.6526180131618322,3,11.0,0.5496191980068752,0,5.0,0.7157143900775683,0,22.0,0.6094391973962311,2,16.0,0.6456594434022513,0,0.0,0.8213582643234859,2,7.0,0.288875036638595,0,0.0,0.8652297808139063,0,4.0,0.8674720513546502,23,159.0
95.0,206,0,14,50,256,0,26.0,0.1262135922330097,9.184779994335695,1,5.0,0.5858463445852183,2,22.0,0.3922358357620408,0,4.0,0.851932814063953,0,11.0,0.7546894807145466,2,28.0,0.5083366807901656,0,4.0,0.8867987291283147,0,4.0,0.8518471506616927,0,4.0,0.8830098523952051,2,14.0,0.3854677754643036,0,2.0,0.9326967456089776,0,2.0,0.8341019685670624,0,8.0,0.8510648876049105,2,5.0,0.5899573450052376,2,14.0,0.4745578763687001,1,4.0,0.5677421613771025,2,4.0,0.4426209759348306,14,135.0
100.0,217,0,30,55,272,0,116.0,0.5345622119815668,8.74073611883318,3,14.0,0.632821715518406,3,16.0,0.59878224216101,2,7.0,0.5050277736689377,3,7.0,0.46488532997032755,4,26.0,0.585014490006767,1,6.0,0.4528947125923822,2,10.0,0.3796095947428948,2,7.0,0.23462848219184448,2,17.0,0.7073223054408773,1,2.0,0.6726136338219492,1,4.0,0.5897933723118745,0,4.0,0.933228089977279,3,21.0,0.5837412571769652,0,6.0,0.8159263557632284,0,2.0,0.6588264813019514,3,22.0,0.5557344783848299,30,171.0
105.0,224,0,17,56,280,0,58.0,0.25892857142857145,8.290906424118086,0,10.0,0.6892699891762533,1,16.0,0.6446198087738225,0,7.0,0.5660351162310523,3,20.0,0.3523300595428777,0,20.0,0.4590770003722528,1,11.0,0.1785836862465138,5,34.0,0.19086444490716706,0,10.0,0.13795508090180322,1,8.0,0.8335558494003976,3,13.0,0.42233186748044826,0,6.0,0.4864723846436442,1,3.0,0.6698002531207834,0,11.0,0.7807830613208178,2,8.0,0.656669405260529,0,3.0,0.7338333030530546,0,13.0,0.7753154863967998,17,193.0
110.0,222,0,27,74,296,0,104.0,0.46846846846846846,8.922971481234658,1,2.0,0.7154960941405695,3,14.0,0.4429974693224913,1,5.0,0.465722901728948,5,23.0,0.46784411415768795,5,16.0,0.36603593388561567,3,22.0,0.6534354859805015,0,25.0,0.6882316229397967,0,8.0,0.6967055212795897,2,10.0,0.5642535015146838,0,10.0,0.6999675439722183,2,9.0,0.6853243121903375,1,10.0,0.742037303518968,0,0.0,0.7980498034687765,4,26.0,0.17370820411704896,0,3.0,0.9084793911665805,0,6.0,0.8027595846796486,27,189.0
115.0,220,0,20,92,312,0,57.0,0.2590909090909091,8.747907219096689,2,3.0,0.6024740042889163,2,18.0,0.37616105741570544,0,9.0,0.5596425048364817,1,29.0,0.42065427188219806,2,22.0,0.4058454341385702,0,15.0,0.852361624323225,0,7.0,0.9123792550987311,2,12.0,0.730072934251988,1,11.0,0.4744224641673332,0,4.0,0.8987110051310262,3,21.0,0.6610817467144596,1,6.0,0.7046596611001237,1,5.0,0.6137319295552766,2,29.0,0.45894922612822636,0,3.0,0.8956158393475722,3,12.0,0.39070960672204397,20,206.0
120.0,222,0,35,98,320,0,161.0,0.7252252252252253,8.32708922944508,4,18.0,0.5191080477607214,3,21.0,0.615306796572108,0,4.0,0.6059532961981838,3,19.0,0.3664939011669037,5,24.0,0.4383541756410069,2,7.0,0.3818410216112057,1,2.0,0.3714387198238897,4,25.0,0.46584169307949064,2,17.0,0.7157252420671919,0,0.0,0.7494164528492994,0,15.0,0.43285259715932106,2,15.0,0.5204966576766292,3,16.0,0.6378731506640748,0,11.0,0.8225686030224749,2,5.0,0.7283121943486541,4,30.0,0.5484397382011131,35,229.0
125.0,236,0,41,100,336,0,149.0,0.6313559322033898,8.337907958786575,0,16.0,0.6006066806135917,2,18.0,0.6155436965636242,7,26.0,0.36066139703696937,1,20.0,0.6106520493252868,1,25.0,0.6454747950137513,6,37.0,0.1689607431202958,5,17.0,0.07245839911166742,2,28.0,0.3422336698938025,1,5.0,0.823071963923691,1,5.0,0.5893411138029122,5,19.0,0.4108683186057256,1,7.0,0.6554732123242945,3,35.0,0.5689564248433062,1,3.0,0.7427097413232272,4,19.0,0.4728632597438339,1,20.0,0.5873240552484458,41,300.0
130.0,236,0,22,116,352,0,87.0,0.3686440677966102,8.383007654604594,2,7.0,0.6117350183478831,4,25.0,0.41557167502295733,2,34.0,0.12763922529983193,0,6.0,0.6864891831383569,2,5.0,0.654063575487,0,34.0,0.6896876065893258,1,29.0,0.23359339083465117,2,20.0,0.4789513974585441,2,8.0,0.6242867453751789,0,4.0,0.8166328582564152,0,19.0,0.7328867676400789,2,19.0,0.7737447715840953,0,18.0,0.3429894014326509,3,16.0,0.2736452253807766,0,15.0,0.5230295786848855,2,16.0,0.4823013003278445,22,275.0
135.0,218,0,33,142,360,0,144.0,0.6605504587155964,8.65812773247841,0,4.0,0.6031280208532362,3,30.0,0.35864544051072633,4,26.0,0.47439772985922607,5,19.0,0.41092582498003233,2,5.0,0.39388682468733416,0,8.0,0.9068343361499017,1,15.0,0.801627751210503,5,37.0,0.6617395090254924,2,7.0,0.4546035063932842,0,4.0,0.8927692488394641,1,5.0,0.7156393831714228,0,4.0,0.7034861039359578,0,6.0,0.656106149945997,8,44.0,0.33603864409601464,0,4.0,0.8852928041641024,2,28.0,0.6228004334861398,33,246.0
140.0,228,0,39,148,376,0,196.0,0.8596491228070176,8.616077121166018,2,8.0,0.6074932712709937,3,23.0,0.5776173258154347,0,16.0,0.7254430323557268,5,35.0,0.1478488172151438,4,24.0,0.32599483819796105,2,8.0,0.6033702906812258,1,20.0,0.8635683308873132,5,60.0,0.6176610336196118,2,16.0,0.7561741018665832,0,0.0,0.790748127935523,4,16.0,0.5113235998824127,4,13.0,0.22893141922336988,3,11.0,0.6005764265440056,4,55.0,0.4947824634382697,0,4.0,0.8476522196567589,0,8.0,0.8898628712538167,39,317.0
145.0,239,0,31,153,392,0,105.0,0.4393305439330544,8.07001667900663,0,6.0,0.7474794073843389,1,19.0,0.6328689195873441,2,10.0,0.54394456743069,5,33.0,0.41610898282945297,1,22.0,0.6024022671578267,6,36.0,0.22217413994416743,0,4.0,0.3527338676456519,4,54.0,0.24626435068181046,0,4.0,0.776053998960258,1,4.0,0.5921590184706591,2,18.0,0.3792586502951218,1,26.0,0.21038148876725063,4,33.0,0.4978207002434628,2,23.0,0.504763105535139,2,6.0,0.7449540171964495,0,4.0,0.8671067905645063,31,302.0
150.0,238,0,39,162,400,0,212.0,0.8907563025210085,8.267779831000478,1,3.0,0.7131980196640266,3,16.0,0.43230523548710875,0,12.0,0.6334720515446027,5,50.0,0.41512137458778164,0,3.0,0.855408729700848,7,71.0,0.4388767479722048,5,23.0,0.16001364184111663,5,28.0,0.2286704513526938,2,8.0,0.5515963642405917,0,6.0,0.7068897940074267,2,15.0,0.6992961042620427,2,20.0,0.7099070353509641,0,29.0,0.3966361913691258,1,23.0,0.3731436920660118,4,19.0,0.5226698556063334,2,2.0,0.24778604949503438,39,328.0
155.0,235,0,33,181,416,0,200.0,0.851063829787234,8.363742394595144,0,1.0,0.7031358171185507,3,22.0,0.3601776065652637,1,9.0,0.5261457882868806,2,40.0,0.4698535932052205,1,1.0,0.7638321450731049,7,106.0,0.509131635245381,0,23.0,0.6346688637754396,2,29.0,0.1764374236381385,1,11.0,0.4737111026959813,0,4.0,0.910910120103111,3,11.0,0.6775588612006924,0,4.0,0.87376611952221,0,8.0,0.6463514003750682,4,30.0,0.4158143876430742,6,51.0,0.3141131733702213,3,20.0,0.21158086799447343,33,370.0
160.0,228,0,42,204,432,0,295.0,1.293859649122807,8.549811575136637,3,5.0,0.6522541352911015,3,20.0,0.6379435011007839,1,11.0,0.5850009246032373,3,26.0,0.5923827569351846,4,14.0,0.6055061380691752,11,151.0,0.238946631857082,0,4.0,0.8958778794024655,5,36.0,0.611768101076854,2,15.0,0.7283667092488653,0,0.0,0.8073359600263789,4,26.0,0.5231219350294286,1,3.0,0.44881909648849383,1,7.0,0.6111368432208198,0,21.0,0.6563396275415431,1,44.0,0.5650468025446153,3,39.0,0.5564875507644947,42,422.0
165.0,225,0,28,215,440,0,287.0,1.2755555555555556,7.873429942876007,0,4.0,0.7194811293073984,1,12.0,0.6314429370034588,1,6.0,0.26626781246737746,0,13.0,0.596328553761153,1,11.0,0.33449368040867555,15,221.0,0.07792903407096162,0,0.0,0.678204313373557,0,32.0,0.6629802888706183,0,4.0,0.7594046382321941,2,7.0,0.4715742750963846,0,23.0,0.3159790785912752,1,14.0,0.19352309951420013,3,24.0,0.5821534428480976,1,4.0,0.5593079730134997,0,9.0,0.7555560347905683,3,52.0,0.7240409768573149,28,436.0
170.0,230,0,40,226,456,0,276.0,1.2,8.017607478096446,1,3.0,0.7175154282985515,2,14.0,0.46349923135052357,1,9.0,0.1381884335450611,5,25.0,0.5133285845210384,5,20.0,0.47801319432165346,9,224.0,0.38211511806679055,0,8.0,0.4415461451618692,2,11.0,0.3233321232163794,2,7.0,0.6448867300233853,3,23.0,0.6109864174910741,2,14.0,0.6923299634264061,2,19.0,0.7024984737338466,0,18.0,0.47930916271629764,1,5.0,0.45255718223054103,2,8.0,0.5233659181588635,3,65.0,0.6484370364111298,40,473.0
175.0,231,0,31,241,472,0,168.0,0.7272727272727273,7.98305942447411,0,1.0,0.7676287158983851,3,19.0,0.3991592379701945,1,12.0,0.6990376967405856,1,24.0,0.4652975044559532,2,23.0,0.680718396572792,0,117.0,0.5614541265508756,0,8.0,0.8761947652486716,3,18.0,0.1313908470431206,1,4.0,0.4808153422728506,0,16.0,0.6733528207578366,4,14.0,0.6376441049521445,2,27.0,0.7801250178800605,0,6.0,0.6517355670605012,3,7.0,0.09802308602553375,5,34.0,0.3597543003265775,6,85.0,0.13777241928010509,31,415.0
180.0,224,0,32,256,480,0,144.0,0.6428571428571429,7.834198040101762,2,7.0,0.6067239013750859,2,18.0,0.5817925214597804,0,8.0,0.8176152107302581,6,32.0,0.45919284957436785,3,16.0,0.6573403361935622,1,93.0,0.40387901803367887,0,6.0,0.8999331449790664,3,26.0,0.5404035336344851,2,16.0,0.7003947452527237,2,6.0,0.41236829185637885,5,32.0,0.41404089863964705,0,6.0,0.24474809910388495,2,12.0,0.5552783208175258,0,13.0,0.5684919560483451,1,35.0,0.5819039877990347,3,66.0,0.22460064591985732,32,392.0
