step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.139692343305759,0,0.0,0.927636298488015,0,0.0,0.9168898880048713,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9271891639814333,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.91355180268277,0,0.0,0.9262299615861981,0,0.0,0.9235180512599626,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9228968903345877,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.1893052612633,0,0.0,0.9197493519993293,0,0.0,0.957332172293808,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9323473490685021,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9596238598493763,0,0.0,0.9623282086908036,0,0.0,0.925635725708188,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8220814203768505,0,0.0,1.0,0,0.0
15.0,40,0,1,0,40,0,3.0,0.075,11.438327952782267,0,0.0,0.817246144691358,0,0.0,0.8046829441001782,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9323078774611903,0,0.0,0.752043999408885,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7444911117079482,0,0.0,0.8202710950704561,0,0.0,0.9498499315402675,0,0.0,0.773204197648799,0,0.0,1.0,0,0.0,0.9146313401190984,1,3.0,0.7284682077711898,0,0.0,1.0,1,3.0
20.0,56,0,5,0,56,0,11.0,0.19642857142857142,10.662145820777194,1,2.0,0.6945568669879612,0,0.0,0.911506252349919,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9643431912785098,0,0.0,0.9650857580117432,0,0.0,1.0,0,0.0,1.0,2,5.0,0.4239504667929839,2,4.0,0.6361179561232703,0,0.0,0.8878132303413772,0,0.0,0.9590297995331918,0,0.0,1.0,0,0.0,0.949188299959512,0,0.0,0.7884497430490663,0,0.0,0.915434879050595,5,11.0
25.0,72,0,0,0,72,0,0.0,0.0,10.700737093692242,0,2.0,0.7106904980239922,0,0.0,0.9282756711052182,0,0.0,1.0,0,0.0,0.8197628397001254,0,0.0,0.9537708024274346,0,0.0,0.6835242821153653,0,0.0,1.0,0,0.0,1.0,0,4.0,0.6230692493441609,0,0.0,0.7186906280495552,0,2.0,0.7210382220807457,0,0.0,0.8810408136988995,0,2.0,0.5043852445022289,0,4.0,0.38149797221884396,0,0.0,0.8956298655680633,0,2.0,0.8610673542237102,0,16.0
30.0,80,0,8,0,80,0,18.0,0.225,10.57763068834109,2,5.0,0.6904155012624859,0,0.0,0.7762005703718388,0,0.0,1.0,0,0.0,0.9609497907065051,0,0.0,0.9760136264674365,2,4.0,0.626090848368869,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8112571589522797,0,0.0,0.9591734012136295,2,8.0,0.6231995757168228,2,4.0,0.4679162184546928,0,4.0,0.7780423814845959,0,4.0,0.8718083176682703,0,0.0,0.9556624657870446,0,2.0,0.893130935857062,8,31.0
35.0,96,0,11,0,96,0,35.0,0.3645833333333333,8.947838918673911,1,3.0,0.6072344428317541,2,8.0,0.5271059524708804,0,0.0,1.0,0,0.0,0.2507788859713901,1,1.0,0.7485132931461443,0,1.0,0.6407203062213209,0,2.0,0.45075129362913774,0,0.0,1.0,0,0.0,0.8582256710134296,0,0.0,0.6113832205892182,4,23.0,0.6281867622800502,0,0.0,0.36525508833066783,0,8.0,0.7475948044191033,0,4.0,0.8982695808395441,1,1.0,0.651343955742965,2,4.0,0.5496120783799882,11,55.0
40.0,112,0,28,0,112,0,121.0,1.0803571428571428,7.86816698632245,2,9.0,0.7505144278511086,0,7.0,0.7586181903283595,0,0.0,1.0,1,3.0,0.0003590324490428045,2,8.0,0.6094427950163708,0,0.0,0.9051550424913197,0,4.0,0.8943684452347107,0,0.0,1.0,2,6.0,0.6668398681626128,3,10.0,0.5416266662522201,5,45.0,0.4202727090220002,1,7.0,0.20395573767551198,2,11.0,0.5415618569445165,2,6.0,0.19946068786453938,2,9.0,0.6897779897608316,6,23.0,0.11926529052865253,28,148.0
45.0,120,0,22,0,120,0,180.0,1.5,7.532996207251531,0,0.0,0.7272690071690078,0,4.0,0.907369090510161,0,4.0,0.43750889224274647,0,4.0,0.405529581341352,3,22.0,0.34054395112857994,0,0.0,0.8011154734195703,0,4.0,0.9115692888068685,0,0.0,1.0,0,2.0,0.513469342443754,0,7.0,0.6712031008908159,7,82.0,0.24872739989310627,0,4.0,0.8659554399996555,1,12.0,0.43726725853376525,0,7.0,0.30136473253627966,4,24.0,0.6284558615989502,7,59.0,0.12051897874639798,22,235.0
50.0,136,0,36,0,136,0,328.0,2.411764705882353,7.924418364351928,3,8.0,0.7099945784553365,0,0.0,0.8028532077837517,0,4.0,0.8403661814790695,0,4.0,0.8764394647845352,6,48.0,0.45832534191061985,0,0.0,0.9144678182126623,2,8.0,0.3189387600628172,0,2.0,0.9167356499156344,2,8.0,0.6672377347258376,0,0.0,0.6770810388294367,10,125.0,0.41415561707307247,0,4.0,0.8512897995337942,0,9.0,0.5062547244800123,0,4.0,0.8398913335374675,6,49.0,0.41955924938310024,7,94.0,0.19972672552547757,36,367.0
