step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.106529052853698,0,0.0,0.9643309126772974,0,0.0,0.9579878075036146,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9614049199025226,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9609119975861795,0,0.0,0.9640169758606727,0,0.0,0.9622534568349156,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.964806632345117,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,12.71749059905542,0,0.0,0.9435313548114471,0,0.0,0.9539956394188731,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9568131348824258,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9555437573095865,0,0.0,0.9559965195339328,0,0.0,0.9483906787286476,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9513606213882955,0,0.0,1.0,0,0.0
15.0,40,0,1,0,40,0,1.0,0.025,10.556659549220806,1,1.0,0.761335493766868,0,0.0,0.9352411893945974,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6399133768465143,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9631898642928235,0,0.0,0.9465340604512171,0,0.0,0.6977642942758618,0,0.0,0.9651567182106936,0,0.0,0.9684252030511064,0,0.0,0.9346576306099437,0,0.0,0.6134623691455247,0,0.0,1.0,1,1.0
20.0,56,0,8,0,56,0,27.0,0.48214285714285715,10.300951838182824,1,2.0,0.815420879507292,0,0.0,0.8424949144064383,0,0.0,1.0,0,0.0,1.0,3,10.0,0.5403592470116053,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9491584491677998,0,0.0,0.9381619828232095,2,7.0,0.7085965867964537,0,0.0,0.9511860492009987,0,0.0,0.9392230586258735,0,0.0,0.9563821056300542,2,8.0,0.5454071162052216,0,0.0,1.0,8,27.0
25.0,72,0,14,0,72,0,80.0,1.1111111111111112,9.671366007451873,2,8.0,0.7195026239580135,0,2.0,0.942198939880591,0,0.0,0.9896954172901882,0,0.0,0.9130978654992575,4,27.0,0.3673112057872167,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9581828002219078,0,0.0,0.9590464817531463,4,21.0,0.4463839144074213,0,0.0,0.9653718184362268,0,0.0,0.9627703167567303,0,0.0,0.9378390337729474,4,24.0,0.4578684384203407,0,0.0,1.0,14,82.0
30.0,80,0,19,0,80,0,154.0,1.925,8.752533726244401,1,2.0,0.6309333461293078,0,2.0,0.936443188678587,0,0.0,0.9401784477860797,0,0.0,0.9500452966959987,6,55.0,0.2587723418584515,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9582401009343774,0,0.0,0.944460377452895,6,52.0,0.30193249361588387,0,0.0,0.9446667730571111,0,0.0,0.947391435186456,0,0.0,0.9252919682091806,6,50.0,0.3981493964375192,0,0.0,0.9535141304917759,19,161.0
35.0,96,0,10,0,96,0,30.0,0.3125,8.889948527401252,3,11.0,0.62002869041619,1,3.0,0.586725331667643,0,0.0,0.9329258668704496,0,0.0,0.9511392531417939,2,48.0,0.4092509350323647,0,4.0,0.44883794977560343,0,0.0,0.971266166216425,0,0.0,1.0,0,0.0,0.9378987974398936,0,0.0,0.9421699823541555,2,45.0,0.5289769730972247,0,4.0,0.7634201353069583,0,0.0,0.9753080579945937,0,0.0,0.9553712464810853,2,42.0,0.40014745679512326,0,4.0,0.778349627577435,10,161.0
40.0,112,0,5,0,112,0,30.0,0.26785714285714285,10.65370757761707,5,30.0,0.6008485709480861,0,3.0,0.5626656321914326,0,0.0,0.9150508096341763,0,0.0,0.9645763352213882,0,7.0,0.708974406039117,0,4.0,0.8678361299770432,0,0.0,0.9896954172901882,0,0.0,0.943478196806867,0,4.0,0.7916149078330815,0,0.0,0.986888796309412,0,11.0,0.7454685487486897,0,4.0,0.9020945717088699,0,0.0,0.9583142329058056,0,0.0,0.964049340370029,0,7.0,0.6018538541652627,0,4.0,0.9142299090589899,5,74.0
45.0,120,0,14,0,120,0,78.0,0.65,9.68584962088619,5,55.0,0.4249170771962032,2,5.0,0.6383928311657068,0,0.0,0.9676792879448567,0,0.0,0.9476924220407525,2,10.0,0.3998945193065542,0,4.0,0.912163689196941,0,0.0,0.9339144818154645,0,0.0,0.9563307379446099,0,4.0,0.919789102405488,0,0.0,0.975461690031692,2,7.0,0.53841019142813,0,4.0,0.7943343591986963,0,0.0,0.9376957258511608,0,0.0,0.9912502618994402,3,16.0,0.4410785760604799,0,4.0,0.9019401420888334,14,109.0
50.0,136,0,31,0,136,0,191.0,1.4044117647058822,8.440376360822972,8,91.0,0.43866702248524087,0,0.0,0.6859733375170957,0,0.0,0.9559636143852451,0,0.0,0.9450285024128278,5,33.0,0.34640498044181883,2,7.0,0.4997748878480645,0,0.0,0.9085427198973133,0,0.0,0.9574193833273474,0,4.0,0.9460306905619146,0,0.0,0.9681115091768178,6,30.0,0.5409363887338002,1,8.0,0.37983247781745005,0,0.0,0.9437303424881058,0,0.0,0.9435579206033936,7,44.0,0.494420962990007,2,8.0,0.3990694804080802,31,225.0
