step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.510116878696662,0,0.0,0.9783649997441973,0,0.0,0.9808183382880025,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9797954783222306,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9785500145280535,0,0.0,0.9830890433608794,0,0.0,0.9748367418260193,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9815513826239681,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,12.91431707070392,0,0.0,0.9010296636465502,0,0.0,0.947117922040039,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9391603413232285,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9438696934990709,0,0.0,0.9486587237129318,0,0.0,0.9385910049386554,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9141005949569815,0,0.0,1.0,0,0.0
15.0,40,0,3,0,40,0,3.0,0.075,11.482136152857626,1,1.0,0.8230289669417824,1,1.0,0.6114910180139775,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9497362995297821,0,0.0,0.7683185377478151,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7320794407790927,0,0.0,0.9537321937696589,0,0.0,0.9338699214453547,0,0.0,0.8442947613968319,0,0.0,1.0,0,0.0,0.9391788776024363,0,0.0,0.9482116004315984,0,0.0,0.8240114985300951,3,3.0
20.0,56,0,6,0,56,0,24.0,0.42857142857142855,10.830961313674347,2,7.0,0.5937142671769425,2,9.0,0.6798370413919188,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9594600814792926,0,0.0,0.950765147050856,0,0.0,1.0,0,0.0,1.0,2,8.0,0.485681347192343,0,0.0,0.9607851475631785,0,0.0,0.9687689664366965,0,0.0,0.9478660352801604,0,0.0,1.0,0,0.0,0.9509697619987619,0,0.0,0.9417133869729696,0,0.0,0.932270923439427,6,24.0
25.0,72,0,0,0,72,0,0.0,0.0,10.707888463007196,0,5.0,0.7098750236419962,0,2.0,0.7083427774605384,0,0.0,1.0,0,0.0,0.9719900897790774,0,0.0,0.9671370223244606,0,0.0,0.8587452823294699,0,0.0,1.0,0,0.0,1.0,0,4.0,0.6168762041851676,0,0.0,0.9673515963780397,0,4.0,0.7825259945927915,0,2.0,0.844638071423662,0,2.0,0.39540604503432986,0,0.0,0.9427949874986252,0,0.0,0.865142975695085,0,0.0,0.679369491276395,0,19.0
30.0,80,0,10,0,80,0,23.0,0.2875,9.603508091488766,2,4.0,0.6635269587839489,1,3.0,0.5350712735920339,0,0.0,1.0,0,0.0,0.9351004674075374,0,0.0,0.5869524554760287,2,4.0,0.3110175371690658,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8528637715513537,1,1.0,0.6729990779969208,1,6.0,0.8066212834222679,0,4.0,0.8859255102134518,0,4.0,0.8566766631138832,0,0.0,0.954044774409231,1,4.0,0.5239944900564019,2,5.0,0.3853144324329028,10,35.0
35.0,96,0,9,0,96,0,32.0,0.3333333333333333,8.479149153644782,0,2.0,0.6850883474017527,0,7.0,0.6348077981193019,0,4.0,0.35902307789809107,0,0.0,0.5834635817509525,3,12.0,0.4293090241123056,0,0.0,0.23532515745455854,0,4.0,0.45264833935137616,0,0.0,1.0,0,2.0,0.669698719533697,3,11.0,0.5320561806643768,1,11.0,0.6669835674329024,1,5.0,0.7529380993764406,0,4.0,0.917878979287247,1,1.0,0.012556680612010644,0,0.0,0.5908154987729253,0,2.0,0.33624640593640304,9,65.0
40.0,112,0,17,0,112,0,65.0,0.5803571428571429,8.956846705114975,2,5.0,0.6845555814581815,2,8.0,0.7226730609016537,0,4.0,0.9290064548167021,2,6.0,0.3327722950756396,0,6.0,0.579949601061158,0,2.0,0.4124299755441797,0,4.0,0.9053250166440684,0,0.0,1.0,2,7.0,0.6564193866736023,0,6.0,0.6318171870175364,4,24.0,0.5259637600475857,3,10.0,0.42957518295348524,0,4.0,0.33417718677397035,2,15.0,0.36468501686630717,0,0.0,0.9063793663858472,0,4.0,0.8824071083301621,17,105.0
45.0,120,0,6,0,120,0,28.0,0.23333333333333334,9.785765743441091,0,2.0,0.7780151430912835,0,6.0,0.8167482495660677,0,8.0,0.7500760066082833,0,4.0,0.38145829769879436,0,0.0,0.845402665566536,0,4.0,0.7608772879939258,0,4.0,0.9068834244482412,0,4.0,0.3711604921090423,0,3.0,0.6655117533794522,0,0.0,0.9447478250879618,2,23.0,0.40097581385049136,3,31.0,0.2335510481162059,1,7.0,0.23470643383836917,0,4.0,0.9157067666571063,0,0.0,0.868176201122968,0,4.0,0.9298423134609385,6,104.0
50.0,136,0,10,0,136,0,27.0,0.19852941176470587,9.850934626504207,1,3.0,0.7503568641267402,1,6.0,0.4929837014789112,2,12.0,0.6245479230832254,0,4.0,0.9448073689181415,0,0.0,0.9454402430541528,0,4.0,0.9278729022106713,2,7.0,0.05888934290090282,0,4.0,0.9610896377212654,1,3.0,0.49620534567891944,0,0.0,0.9779862254503179,2,16.0,0.7001091438468358,0,18.0,0.8414301455902908,0,8.0,0.7434626381600362,0,4.0,0.863234780238827,1,2.0,0.6593013633914109,0,0.0,0.5659265974254573,10,91.0
55.0,152,0,9,0,152,0,23.0,0.1513157894736842,9.297718337106941,0,2.0,0.6990698990551694,0,3.0,0.42276075490359794,0,7.0,0.8389609531689801,0,8.0,0.7535146900102566,0,0.0,0.9373528762096915,0,2.0,0.7485399509565996,0,7.0,0.44656665847052845,0,8.0,0.6877647040665231,1,7.0,0.547193043513631,0,3.0,0.7841241339181334,1,5.0,0.7303739554131349,0,6.0,0.8545579975837133,1,10.0,0.7877148695990136,1,4.0,0.6786221382790809,3,15.0,0.49731966502185354,2,3.0,0.09734106142285275,9,90.0
60.0,160,0,25,0,160,0,97.0,0.60625,8.656292901742773,1,4.0,0.783223790966459,3,9.0,0.653861734948094,0,4.0,0.37940522520751646,2,12.0,0.7280733096814148,0,0.0,0.7664467243855229,0,3.0,0.8359057574996879,0,0.0,0.8982236803094081,2,12.0,0.5405902128143303,2,14.0,0.6136189673829018,0,3.0,0.9167802430618048,3,10.0,0.5145464465789689,1,4.0,0.6027188010606817,3,16.0,0.3797099029060712,2,3.0,0.3408980116219627,4,35.0,0.5500215433157517,2,12.0,0.3946802364601048,25,141.0
